skill_a,skill_b,cooccur,meaning,relation
AWS,Incident Response,0.052,0.115,complements
ETL,Looker,0.052,0.241,complements
Amplitude,Tableau,0.052,0.415,complements
BigQuery,Data Analysis,0.052,0.214,complements
DevOps,Kotlin,0.052,0.339,complements
Spring,TypeScript,0.052,0.323,complements
GitHub,MySQL,0.052,0.244,complements
GitHub,jQuery,0.052,0.2,complements
C#,Dynamics 365,0.052,0.313,complements
Elasticsearch,HTML,0.052,0.261,complements
Kafka,Kotlin,0.052,0.188,complements
Grafana,Microservices,0.052,0.229,complements
AWS,Firewalls,0.051,0.132,complements
PowerShell,ServiceNow,0.051,0.424,complements
C++,Kafka,0.051,0.244,complements
GitLab,React,0.051,0.176,complements
AWS,Power BI,0.051,0.233,complements
Git,Pandas,0.051,0.237,complements
DevOps,SSIS,0.051,0.339,complements
Confluence,Hadoop,0.051,0.131,complements
C#,Distributed Systems,0.051,0.374,complements
Linear,Statistical Analysis,0.051,0.186,complements
CSS,Windows,0.051,0.392,complements
Flask,Machine Learning,0.051,0.105,complements
PHP,XML,0.051,0.45,complements
Risk Management,SOC 2,0.051,0.374,complements
Airflow,Confluence,0.051,0.221,complements
MCP,Windows,0.051,0.301,complements
Airflow,Azure,0.051,0.2,complements
Data Governance,NLP,0.051,-0.028,complements
DevOps,Penetration Testing,0.051,0.308,complements
Confluence,Spring,0.051,0.23,complements
SAP,Tableau,0.051,0.363,complements
Java,Prometheus,0.051,0.249,complements
Redis,Ruby,0.051,0.308,complements
GitLab,PowerShell,0.051,0.252,complements
Hugging Face,Machine Learning,0.051,0.416,complements
CI/CD,Data Analysis,0.051,0.266,complements
Microservices,Prometheus,0.051,0.302,complements
Flask,NoSQL,0.051,0.134,complements
Django,GitLab,0.051,0.336,complements
SQL,System Design,0.051,0.163,complements
Data Visualization,GraphQL,0.051,0.26,complements
Azure,SIEM,0.051,0.174,complements
Data Visualization,PyTorch,0.051,0.082,complements
GitLab,Kafka,0.051,0.373,complements
Risk Management,SQL,0.051,0.103,complements
Bash,Big Data,0.05,0.155,complements
Deep Learning,scikit-learn,0.05,0.364,complements
Airflow,Data Visualization,0.05,0.303,complements
Airflow,Redis,0.05,0.264,complements
MATLAB,SAS,0.05,0.233,complements
DynamoDB,Go,0.05,0.223,complements
Oracle,Splunk,0.05,0.29,complements
C++,PostgreSQL,0.05,0.275,complements
Elasticsearch,Ruby,0.05,0.294,complements
DevOps,GraphQL,0.05,0.18,complements
Linux,Risk Management,0.05,0.064,complements
PHP,Unit Testing,0.05,0.272,complements
Confluence,Software Architecture,0.05,0.319,complements
Jira,Redis,0.05,0.218,complements
Elasticsearch,Spring Boot,0.05,0.237,complements
Hadoop,Unit Testing,0.05,0.097,complements
BigQuery,Data Governance,0.05,0.277,complements
JavaScript,Svelte,0.05,0.615,complements
Cassandra,Data Visualization,0.05,0.125,complements
Confluence,MATLAB,0.05,0.107,complements
HTML,Redis,0.05,0.292,complements
MongoDB,jQuery,0.05,0.317,complements
Databricks,NoSQL,0.05,0.282,complements
GCP,PowerShell,0.05,0.192,complements
CSS,ServiceNow,0.05,0.154,complements
Elasticsearch,Machine Learning,0.05,0.175,complements
LangChain,Pandas,0.05,0.262,complements
Confluence,XML,0.05,0.414,complements
Angular,GitLab,0.05,0.228,complements
Excel,Risk Management,0.05,0.206,complements
Agile / Scrum,Informatica,0.05,0.151,complements
Kubernetes,System Design,0.05,0.432,complements
Flink,SageMaker,0.05,0.256,complements
Java,SAS,0.05,0.268,complements
ETL,PostgreSQL,0.05,0.355,complements
Git,Helm,0.05,0.415,complements
Distributed Systems,REST API,0.05,0.22,complements
Airflow,Go,0.05,0.367,complements
JSON,Kotlin,0.05,0.342,complements
Excel,Jira,0.05,0.358,complements
DynamoDB,Ruby,0.05,0.275,complements
CI/CD,jQuery,0.05,0.174,complements
Jira,Unix,0.05,0.245,complements
Distributed Systems,LLMs / GenAI,0.05,0.252,complements
Data Visualization,JavaScript,0.05,0.245,complements
Datadog,Swift,0.05,0.169,complements
Spring Boot,TypeScript,0.049,0.273,complements
Elasticsearch,GitLab,0.049,0.326,complements
Linux,System Design,0.049,0.303,complements
Cassandra,JavaScript,0.049,0.203,complements
GCP,R,0.049,0.179,complements
Data Pipeline,Prefect,0.049,0.661,complements
C++,Prototyping,0.049,0.1,complements
ArgoCD,Python,0.049,0.173,complements
Microservices,jQuery,0.049,0.227,complements
Alteryx,Statistical Analysis,0.049,0.383,complements
Confluence,Kotlin,0.049,0.279,complements
FastAPI,LLMs / GenAI,0.049,-0.001,complements
PowerShell,SIEM,0.049,0.224,complements
Agile / Scrum,LLMs / GenAI,0.049,0.166,complements
Azure,PHP,0.049,0.374,complements
GitLab,Node.js,0.049,0.227,complements
Data Analysis,Git,0.049,0.232,complements
Agile / Scrum,PowerShell,0.049,0.216,complements
Datadog,Node.js,0.049,0.22,complements
Active Directory,Penetration Testing,0.049,0.117,complements
JavaScript,User Research,0.049,0.312,complements
Dagster,PyTorch,0.049,0.132,complements
Looker,Machine Learning,0.049,0.235,complements
Python,Spring Boot,0.049,0.401,complements
Datadog,Linux,0.049,0.385,complements
Distributed Systems,Flink,0.049,0.319,complements
MuleSoft,Snowflake,0.049,0.346,complements
Agile / Scrum,C,0.049,0.141,complements
Azure,Redis,0.049,0.4,complements
HTML,Unix,0.049,0.228,complements
Jira,Snowflake,0.049,0.22,complements
.NET,C++,0.049,0.51,complements
C#,Swift,0.049,0.434,complements
Bash,Elasticsearch,0.049,0.26,complements
Prototyping,React,0.049,0.243,complements
Jira,Power BI,0.049,0.487,complements
C++,MySQL,0.049,0.275,complements
AWS,Swift,0.049,0.218,complements
Microservices,Vue,0.049,0.296,complements
Big Data,Jenkins,0.049,0.197,complements
Java,Salesforce,0.049,0.315,complements
Python,scikit-learn,0.049,0.225,complements
Kotlin,Node.js,0.049,0.356,complements
Jira,MATLAB,0.049,0.228,complements
Django,SQL,0.049,0.229,complements
Risk Management,System Design,0.049,0.24,complements
Microservices,Unix,0.049,0.335,complements
Angular,Cassandra,0.049,0.16,complements
Jira,TypeScript,0.049,0.162,complements
REST API,ServiceNow,0.048,0.181,complements
R,SageMaker,0.048,0.289,complements
GitHub,XML,0.048,0.21,complements
Prototyping,Python,0.048,0.122,complements
Linux,Penetration Testing,0.048,0.257,complements
Cassandra,REST API,0.048,0.177,complements
Node.js,Unix,0.048,0.242,complements
Polars,Spark,0.048,0.268,complements
Bash,PHP,0.048,0.461,complements
.NET,PowerShell,0.048,0.372,complements
Active Directory,SIEM,0.048,0.326,complements
Active Directory,Terraform,0.048,0.383,complements
Kotlin,PostgreSQL,0.048,0.254,complements
Oracle,Salesforce,0.048,0.414,complements
GitHub,Machine Learning,0.048,0.034,complements
Agile / Scrum,PyTorch,0.048,0.046,complements
Elasticsearch,Rust,0.048,0.149,complements
C#,ETL,0.048,0.296,complements
Spark,Statistical Analysis,0.048,0.079,complements
Bash,C,0.048,0.473,complements
Oracle,Spark,0.048,0.312,complements
Angular,Linux,0.048,0.211,complements
GraphQL,Spring Boot,0.048,0.371,complements
Machine Learning,Node.js,0.048,0.021,complements
Hive,Unit Testing,0.048,0.042,complements
Jira,Splunk,0.048,0.29,complements
Kotlin,SQL,0.048,0.269,complements
Hadoop,Pandas,0.048,0.177,complements
Kotlin,Python,0.048,0.534,complements
GCP,GraphQL,0.048,0.261,complements
Databricks,Terraform,0.048,0.339,complements
CI/CD,Data Warehousing,0.048,0.185,complements
Hadoop,Jupyter,0.048,0.219,complements
CI/CD,Vue,0.048,0.195,complements
MySQL,Windows,0.048,0.232,complements
JSON,Kafka,0.048,0.386,complements
Data Warehousing,Unit Testing,0.048,0.175,complements
Figma,Next.js,0.048,0.358,complements
Big Data,Kanban,0.048,0.316,complements
Docker,VMware,0.048,0.349,complements
Data Analysis,Go,0.048,0.125,complements
Google Analytics,SQL,0.048,0.212,complements
GCP,Software Architecture,0.048,0.226,complements
Informatica,Unix,0.048,0.186,complements
Kotlin,Scala,0.047,0.606,complements
GitHub,Spark,0.047,0.244,complements
Bash,JSON,0.047,0.365,complements
Hadoop,Statistical Analysis,0.047,0.092,complements
JavaScript,Spark,0.047,0.294,complements
Data Analysis,MySQL,0.047,0.298,complements
GitLab,Unix,0.047,0.227,complements
GitLab,NoSQL,0.047,0.205,complements
Data Modeling,Jira,0.047,0.225,complements
Databricks,dbt,0.047,0.24,complements
Cybersecurity,DevOps,0.047,0.272,complements
Datadog,GraphQL,0.047,0.262,complements
AWS,Risk Management,0.047,0.072,complements
GitHub,Oracle,0.047,0.126,complements
NoSQL,Windows,0.047,0.318,complements
Data Analysis,Microservices,0.047,0.079,complements
Grafana,Jira,0.047,0.397,complements
ETL,GCP,0.047,0.228,complements
C#,Go,0.047,0.595,complements
Angular,Flask,0.047,0.481,complements
Django,Ruby,0.047,0.529,complements
GCP,Spring,0.047,0.218,complements
Data Pipeline,Elasticsearch,0.047,0.269,complements
Power BI,Redshift,0.047,0.498,complements
Alteryx,Risk Management,0.047,0.128,complements
HTML,ServiceNow,0.047,0.141,complements
LLMs / GenAI,XGBoost,0.047,0.217,complements
C++,REST API,0.047,0.233,complements
Agile / Scrum,Django,0.047,0.083,complements
PostgreSQL,Unix,0.047,0.184,complements
C#,Power BI,0.047,0.228,complements
Elasticsearch,Spring,0.047,0.2,complements
Data Visualization,JSON,0.047,0.368,complements
Fivetran,Redshift,0.047,0.565,complements
System Design,Unit Testing,0.047,0.343,complements
Flink,Looker,0.047,0.283,complements
Spark,dbt,0.047,0.32,complements
C++,XML,0.047,0.428,complements
Data Analysis,Unix,0.047,0.174,complements
Git,NumPy,0.047,0.133,complements
Angular,Spark,0.047,0.127,complements
GitLab,Windows,0.047,0.188,complements
GitHub,Snowflake,0.047,0.127,complements
Redis,Unit Testing,0.047,0.108,complements
Airflow,Datadog,0.047,0.265,complements
Flink,PostgreSQL,0.047,0.244,complements
AWS,Next.js,0.047,0.268,complements
Alteryx,Java,0.047,0.322,complements
Docker,Pandas,0.046,0.101,complements
Cybersecurity,SOC 2,0.046,0.475,complements
FastAPI,React,0.046,0.31,complements
Big Data,Git,0.046,0.262,complements
Cassandra,Git,0.046,0.218,complements
Oracle,Ruby,0.046,0.338,complements
DevOps,Salesforce,0.046,0.225,complements
R,Snowflake,0.046,0.237,complements
Dagster,DynamoDB,0.046,0.281,complements
Azure,Informatica,0.046,0.304,complements
C,Unit Testing,0.046,0.283,complements
Django,HTML,0.046,0.432,complements
Firewalls,Python,0.046,0.109,complements
Confluence,Oracle,0.046,0.272,complements
Confluence,Snowflake,0.046,0.18,complements
Cassandra,Data Modeling,0.046,0.297,complements
Java,LLMs / GenAI,0.046,0.248,complements
Helm,Linux,0.046,0.342,complements
Kafka,Ruby,0.046,0.218,complements
NumPy,Spark,0.046,0.246,complements
Dagster,Data Governance,0.046,0.271,complements
Elasticsearch,JSON,0.046,0.359,complements
Confluence,Tableau,0.046,0.381,complements
Airflow,Django,0.046,0.204,complements
Distributed Systems,PHP,0.046,0.374,complements
DevOps,Dynamics 365,0.046,0.456,complements
.NET,Kanban,0.046,0.137,complements
DevOps,Risk Management,0.046,0.191,complements
Bash,Oracle,0.046,0.276,complements
C++,Oracle,0.046,0.251,complements
JSON,Salesforce,0.046,0.247,complements
A/B Testing,Stakeholder Mgmt,0.046,0.122,complements
Data Observability,Data Warehousing,0.046,0.422,complements
Kotlin,NoSQL,0.046,0.198,complements
Data Governance,Stakeholder Mgmt,0.046,0.359,complements
Bash,Cybersecurity,0.046,0.121,complements
Kanban,ServiceNow,0.046,0.454,complements
Spark,Spring,0.046,0.216,complements
Data Modeling,Kubernetes,0.046,0.137,complements
Power BI,dbt,0.046,0.462,complements
GCP,Looker,0.046,0.369,complements
CSS,Kafka,0.046,0.171,complements
GraphQL,SQL,0.046,0.544,complements
Data Analysis,HTML,0.046,0.152,complements
.NET,Software Architecture,0.046,0.438,complements
Jenkins,VMware,0.046,0.388,complements
SQL,ServiceNow,0.045,0.172,complements
Airflow,Jenkins,0.045,0.513,complements
Django,Vue,0.045,0.461,complements
Hadoop,REST API,0.045,0.125,complements
Risk Management,SAS,0.045,0.184,complements
DynamoDB,GraphQL,0.045,0.435,complements
Kanban,Windows,0.045,0.274,complements
Docker,NumPy,0.045,0.219,complements
Data Modeling,Docker,0.045,0.044,complements
ClickHouse,Docker,0.045,0.116,complements
AWS,jQuery,0.045,0.13,complements
Helm,SQL,0.045,0.051,complements
C++,Terraform,0.045,0.397,complements
CISSP,Python,0.045,0.247,complements
SQL,VMware,0.045,0.087,complements
Data Warehousing,Flink,0.045,0.3,complements
Bash,Confluence,0.045,0.317,complements
GitLab,Spring,0.045,0.212,complements
Alteryx,Snowflake,0.045,0.362,complements
Java,MATLAB,0.045,0.363,complements
Confluence,Grafana,0.045,0.347,complements
DevOps,PHP,0.045,0.384,complements
DynamoDB,Grafana,0.045,0.28,complements
LangChain,Python,0.045,0.545,complements
Firebase,GraphQL,0.045,0.348,complements
DynamoDB,SageMaker,0.045,0.195,complements
LLMs / GenAI,SQL,0.045,0.106,complements
JavaScript,MuleSoft,0.045,0.411,complements
Kanban,MongoDB,0.045,0.119,complements
Agile / Scrum,Flask,0.045,0.055,complements
DevOps,Django,0.045,0.248,complements
Linux,Redis,0.045,0.328,complements
C++,Node.js,0.045,0.368,complements
Software Architecture,Spring,0.045,0.292,complements
Cassandra,Data Governance,0.045,0.246,complements
Datadog,Elasticsearch,0.045,0.23,complements
Data Governance,Java,0.045,0.146,complements
Hadoop,LLMs / GenAI,0.045,0.122,complements
C++,Redis,0.045,0.396,complements
Cybersecurity,Unix,0.045,0.251,complements
Bash,Cassandra,0.045,0.116,complements
ClickHouse,Kubernetes,0.045,0.13,complements
Ansible,Microservices,0.045,0.543,complements
DevOps,System Design,0.045,0.551,complements
Dagster,Machine Learning,0.045,0.241,complements
Data Visualization,MySQL,0.045,0.245,complements
Superset,Tableau,0.045,0.798,substitutes
AWS,ArgoCD,0.045,0.282,complements
Jenkins,Machine Learning,0.045,0.103,complements
Data Analysis,Distributed Systems,0.044,0.25,complements
ArgoCD,Prometheus,0.044,0.189,complements
Agile / Scrum,Excel,0.044,0.191,complements
Agile / Scrum,Datadog,0.044,0.09,complements
Kafka,Superset,0.044,0.267,complements
Data Modeling,Salesforce,0.044,0.307,complements
Databricks,Prefect,0.044,0.32,complements
C#,Machine Learning,0.044,0.235,complements
Data Governance,Data Observability,0.044,0.421,complements
Splunk,Spring,0.044,0.262,complements
Docker,Rust,0.044,0.255,complements
Flask,Vue,0.044,0.456,complements
Docker,jQuery,0.044,0.167,complements
GCP,Redis,0.044,0.4,complements
Informatica,Salesforce,0.044,0.385,complements
Datadog,Ruby,0.044,0.157,complements
C#,Kotlin,0.044,0.487,complements
Hive,Power BI,0.044,0.327,complements
Go,GraphQL,0.044,0.44,complements
Kafka,TypeScript,0.044,0.1,complements
GCP,Kotlin,0.044,0.241,complements
Oracle,Redis,0.044,0.371,complements
OWASP,SIEM,0.044,0.466,complements
Django,NumPy,0.044,0.33,complements
Big Data,C++,0.044,0.29,complements
.NET,Docker,0.044,0.24,complements
Flask,TensorFlow,0.044,0.229,complements
.NET,Kubernetes,0.044,0.189,complements
Active Directory,Risk Management,0.044,0.165,complements
Looker,Pandas,0.044,0.377,complements
CI/CD,PyTorch,0.044,0.136,complements
CI/CD,Data Visualization,0.044,0.117,complements
Ansible,Incident Response,0.044,0.188,complements
GCP,Oracle,0.044,0.266,complements
Splunk,Spring Boot,0.044,0.249,complements
Data Pipeline,Statistical Analysis,0.044,0.202,complements
GitHub,Power BI,0.044,0.168,complements
NoSQL,Ruby,0.044,0.231,complements
Alteryx,Data Warehousing,0.044,0.39,complements
Data Governance,Oracle,0.044,0.319,complements
C#,Redis,0.044,0.294,complements
Jupyter,SQL,0.044,0.281,complements
Data Governance,Microsoft Fabric,0.044,0.32,complements
Jupyter,R,0.044,0.323,complements
BigQuery,R,0.044,0.254,complements
C,Ruby,0.044,0.475,complements
REST API,Windows,0.044,0.379,complements
HTML,Next.js,0.044,0.409,complements
Docker,FastAPI,0.044,0.2,complements
JSON,Kanban,0.043,0.27,complements
ETL,JSON,0.043,0.412,complements
Airflow,Terraform,0.043,0.361,complements
CI/CD,Flask,0.043,0.222,complements
Data Pipeline,Informatica,0.043,0.496,complements
Go,NLP,0.043,0.163,complements
Hive,SAS,0.043,0.219,complements
Angular,Figma,0.043,0.288,complements
Penetration Testing,Zero Trust,0.043,0.349,complements
Ansible,MongoDB,0.043,0.17,complements
Data Modeling,MongoDB,0.043,0.463,complements
Databricks,LLMs / GenAI,0.043,0.149,complements
Data Analysis,MongoDB,0.043,0.223,complements
Distributed Systems,HTML,0.043,0.175,complements
Kubernetes,XML,0.043,0.212,complements
R,Redshift,0.043,0.299,complements
Databricks,GitHub,0.043,0.149,complements
Hive,Linux,0.043,0.238,complements
Kanban,TypeScript,0.043,0.113,complements
Python,SIEM,0.043,0.308,complements
DevOps,Incident Response,0.043,0.226,complements
Azure,Salesforce,0.043,0.562,complements
GitHub,Hadoop,0.043,0.177,complements
Linear,NumPy,0.043,0.07,complements
Azure,Flink,0.043,0.318,complements
Active Directory,Python,0.043,0.28,complements
Jira,Prototyping,0.043,0.099,complements
Data Visualization,Oracle,0.043,0.234,complements
ETL,Git,0.043,0.393,complements
Data Pipeline,MLflow,0.043,0.273,complements
Airflow,SSIS,0.043,0.514,complements
ServiceNow,Splunk,0.043,0.352,complements
HTML,Ruby,0.043,0.451,complements
Jira,Looker,0.043,0.401,complements
Ansible,C++,0.043,0.32,complements
SQL,Swift,0.043,0.205,complements
Machine Learning,Unit Testing,0.043,0.276,complements
Datadog,Flask,0.043,0.232,complements
Linux,TypeScript,0.043,0.211,complements
Jenkins,Software Architecture,0.043,0.183,complements
SQL,SageMaker,0.043,0.144,complements
Data Pipeline,DynamoDB,0.043,0.205,complements
GraphQL,Jenkins,0.043,0.259,complements
CISSP,SOC 2,0.043,0.358,complements
Azure,Penetration Testing,0.043,0.106,complements
MongoDB,SSIS,0.043,0.208,complements
Hadoop,NumPy,0.043,0.223,complements
Informatica,Redshift,0.043,0.465,complements
C#,GCP,0.043,0.267,complements
Elasticsearch,Kotlin,0.043,0.218,complements
GraphQL,Spring,0.043,0.346,complements
Linux,PyTorch,0.043,0.303,complements
Confluence,Splunk,0.043,0.249,complements
Data Visualization,SAP,0.043,0.166,complements
ServiceNow,VMware,0.043,0.287,complements
Angular,Scala,0.043,0.236,complements
React,System Design,0.043,0.191,complements
AWS,SIEM,0.043,0.174,complements
Confluence,TypeScript,0.043,0.239,complements
Prototyping,Unit Testing,0.043,0.436,complements
Kanban,Risk Management,0.043,0.242,complements
Figma,Git,0.043,0.271,complements
Unix,VMware,0.043,0.379,complements
LLMs / GenAI,Pandas,0.042,0.062,complements
Django,PHP,0.042,0.709,complements
Hadoop,MLflow,0.042,0.245,complements
Bash,XML,0.042,0.395,complements
C++,PHP,0.042,0.573,complements
